{'iter_num': 4000, 'train_batch_size': 8, 'last_iter': 0, 'lr': 0.005, 'lr_decay': 0.9, 'weight_decay': 0.0005, 'momentum': 0.9, 'snapshot': '', 'scale': 416}

[iter 43], [train loss 3.51323], [loss_fuse 0.36676], [loss1_h2l 0.39148], [loss2_h2l 0.38882], [loss3_h2l 0.38885], [loss4_h2l 0.39243], [loss1_l2h 0.38963], [loss2_l2h 0.38806], [loss3_l2h 0.38967], [loss4_l2h 0.39023], [lr 0.0049527250977], [loss_con 0.02730]
[iter 44], [train loss 3.48765], [loss_fuse 0.36392], [loss1_h2l 0.38870], [loss2_h2l 0.38606], [loss3_h2l 0.38606], [loss4_h2l 0.39028], [loss1_l2h 0.38684], [loss2_l2h 0.38482], [loss3_l2h 0.38648], [loss4_l2h 0.38700], [lr 0.0049515988954], [loss_con 0.02750]
[iter 45], [train loss 3.46206], [loss_fuse 0.36096], [loss1_h2l 0.38613], [loss2_h2l 0.38349], [loss3_h2l 0.38348], [loss4_h2l 0.38844], [loss1_l2h 0.38367], [loss2_l2h 0.38133], [loss3_l2h 0.38299], [loss4_l2h 0.38354], [lr 0.0049504726646], [loss_con 0.02803]
[iter 46], [train loss 3.46884], [loss_fuse 0.36214], [loss1_h2l 0.38783], [loss2_h2l 0.38517], [loss3_h2l 0.38540], [loss4_h2l 0.39083], [loss1_l2h 0.38307], [loss2_l2h 0.38065], [loss3_l2h 0.38231], [loss4_l2h 0.38286], [lr 0.0049493464053], [loss_con 0.02857]
[iter 47], [train loss 3.44155], [loss_fuse 0.35938], [loss1_h2l 0.38484], [loss2_h2l 0.38227], [loss3_h2l 0.38248], [loss4_h2l 0.38830], [loss1_l2h 0.37963], [loss2_l2h 0.37741], [loss3_l2h 0.37919], [loss4_l2h 0.37995], [lr 0.0049482201175], [loss_con 0.02809]
[iter 48], [train loss 3.40778], [loss_fuse 0.35572], [loss1_h2l 0.38126], [loss2_h2l 0.37873], [loss3_h2l 0.37895], [loss4_h2l 0.38498], [loss1_l2h 0.37571], [loss2_l2h 0.37335], [loss3_l2h 0.37511], [loss4_l2h 0.37587], [lr 0.0049470938013], [loss_con 0.02808]
[iter 49], [train loss 3.38014], [loss_fuse 0.35274], [loss1_h2l 0.37780], [loss2_h2l 0.37527], [loss3_h2l 0.37556], [loss4_h2l 0.38199], [loss1_l2h 0.37305], [loss2_l2h 0.37062], [loss3_l2h 0.37229], [loss4_l2h 0.37307], [lr 0.0049459674565], [loss_con 0.02773]
[iter 50], [train loss 3.35008], [loss_fuse 0.34964], [loss1_h2l 0.37364], [loss2_h2l 0.37112], [loss3_h2l 0.37152], [loss4_h2l 0.37796], [loss1_l2h 0.37074], [loss2_l2h 0.36774], [loss3_l2h 0.36944], [loss4_l2h 0.37010], [lr 0.0049448410833], [loss_con 0.02819]
[iter 51], [train loss 3.32999], [loss_fuse 0.34708], [loss1_h2l 0.37104], [loss2_h2l 0.36869], [loss3_h2l 0.36902], [loss4_h2l 0.37605], [loss1_l2h 0.36862], [loss2_l2h 0.36564], [loss3_l2h 0.36742], [loss4_l2h 0.36811], [lr 0.0049437146816], [loss_con 0.02833]
[iter 52], [train loss 3.29836], [loss_fuse 0.34358], [loss1_h2l 0.36718], [loss2_h2l 0.36479], [loss3_h2l 0.36524], [loss4_h2l 0.37264], [loss1_l2h 0.36585], [loss2_l2h 0.36228], [loss3_l2h 0.36390], [loss4_l2h 0.36461], [lr 0.0049425882513], [loss_con 0.02830]
[iter 53], [train loss 3.27677], [loss_fuse 0.34093], [loss1_h2l 0.36500], [loss2_h2l 0.36264], [loss3_h2l 0.36317], [loss4_h2l 0.37109], [loss1_l2h 0.36299], [loss2_l2h 0.35943], [loss3_l2h 0.36097], [loss4_l2h 0.36173], [lr 0.0049414617925], [loss_con 0.02882]
[iter 54], [train loss 3.25424], [loss_fuse 0.33804], [loss1_h2l 0.36182], [loss2_h2l 0.35942], [loss3_h2l 0.36012], [loss4_h2l 0.36864], [loss1_l2h 0.36138], [loss2_l2h 0.35742], [loss3_l2h 0.35879], [loss4_l2h 0.35965], [lr 0.0049403353052], [loss_con 0.02897]
[iter 55], [train loss 3.24391], [loss_fuse 0.33698], [loss1_h2l 0.36059], [loss2_h2l 0.35823], [loss3_h2l 0.35887], [loss4_h2l 0.36804], [loss1_l2h 0.36063], [loss2_l2h 0.35624], [loss3_l2h 0.35743], [loss4_l2h 0.35813], [lr 0.0049392087893], [loss_con 0.02877]
[iter 56], [train loss 3.22258], [loss_fuse 0.33453], [loss1_h2l 0.35773], [loss2_h2l 0.35525], [loss3_h2l 0.35592], [loss4_h2l 0.36507], [loss1_l2h 0.35915], [loss2_l2h 0.35440], [loss3_l2h 0.35568], [loss4_l2h 0.35640], [lr 0.0049380822449], [loss_con 0.02844]
[iter 57], [train loss 3.20369], [loss_fuse 0.33187], [loss1_h2l 0.35493], [loss2_h2l 0.35248], [loss3_h2l 0.35318], [loss4_h2l 0.36287], [loss1_l2h 0.35779], [loss2_l2h 0.35301], [loss3_l2h 0.35411], [loss4_l2h 0.35492], [lr 0.0049369556719], [loss_con 0.02852]
[iter 58], [train loss 3.18859], [loss_fuse 0.33014], [loss1_h2l 0.35200], [loss2_h2l 0.34954], [loss3_h2l 0.35027], [loss4_h2l 0.36007], [loss1_l2h 0.35728], [loss2_l2h 0.35259], [loss3_l2h 0.35374], [loss4_l2h 0.35464], [lr 0.0049358290704], [loss_con 0.02832]
[iter 59], [train loss 3.16640], [loss_fuse 0.32781], [loss1_h2l 0.34964], [loss2_h2l 0.34721], [loss3_h2l 0.34775], [loss4_h2l 0.35782], [loss1_l2h 0.35472], [loss2_l2h 0.34992], [loss3_l2h 0.35110], [loss4_l2h 0.35202], [lr 0.0049347024403], [loss_con 0.02841]
[iter 60], [train loss 3.14486], [loss_fuse 0.32550], [loss1_h2l 0.34688], [loss2_h2l 0.34448], [loss3_h2l 0.34506], [loss4_h2l 0.35544], [loss1_l2h 0.35255], [loss2_l2h 0.34795], [loss3_l2h 0.34905], [loss4_l2h 0.34993], [lr 0.0049335757816], [loss_con 0.02801]
[iter 61], [train loss 3.11869], [loss_fuse 0.32244], [loss1_h2l 0.34356], [loss2_h2l 0.34119], [loss3_h2l 0.34175], [loss4_h2l 0.35245], [loss1_l2h 0.35044], [loss2_l2h 0.34525], [loss3_l2h 0.34625], [loss4_l2h 0.34706], [lr 0.0049324490943], [loss_con 0.02829]
[iter 62], [train loss 3.09399], [loss_fuse 0.31956], [loss1_h2l 0.34077], [loss2_h2l 0.33840], [loss3_h2l 0.33911], [loss4_h2l 0.34975], [loss1_l2h 0.34807], [loss2_l2h 0.34252], [loss3_l2h 0.34346], [loss4_l2h 0.34417], [lr 0.0049313223785], [loss_con 0.02819]
