{'iter_num': 5000, 'train_batch_size': 8, 'last_iter': 0, 'lr': 0.005, 'lr_decay': 0.9, 'weight_decay': 0.0005, 'momentum': 0.9, 'snapshot': '', 'scale': 416}

[iter 31], [train loss 3.74345], [loss_fuse 0.40962], [loss1_h2l 0.42256], [loss2_h2l 0.41951], [loss3_h2l 0.41820], [loss4_h2l 0.41761], [loss1_l2h 0.40651], [loss2_l2h 0.41222], [loss3_l2h 0.41678], [loss4_l2h 0.42043], [lr 0.0049729918821]
[iter 32], [train loss 3.68271], [loss_fuse 0.40222], [loss1_h2l 0.41574], [loss2_h2l 0.41275], [loss3_h2l 0.41167], [loss4_h2l 0.41117], [loss1_l2h 0.40018], [loss2_l2h 0.40548], [loss3_l2h 0.40996], [loss4_l2h 0.41355], [lr 0.0049720913313]
[iter 33], [train loss 3.65130], [loss_fuse 0.39829], [loss1_h2l 0.41151], [loss2_h2l 0.40843], [loss3_h2l 0.40754], [loss4_h2l 0.40756], [loss1_l2h 0.39776], [loss2_l2h 0.40249], [loss3_l2h 0.40711], [loss4_l2h 0.41062], [lr 0.0049711907623]
[iter 34], [train loss 3.60549], [loss_fuse 0.39277], [loss1_h2l 0.40629], [loss2_h2l 0.40319], [loss3_h2l 0.40238], [loss4_h2l 0.40288], [loss1_l2h 0.39311], [loss2_l2h 0.39744], [loss3_l2h 0.40206], [loss4_l2h 0.40537], [lr 0.0049702901752]
[iter 35], [train loss 3.56215], [loss_fuse 0.38755], [loss1_h2l 0.40175], [loss2_h2l 0.39864], [loss3_h2l 0.39791], [loss4_h2l 0.39930], [loss1_l2h 0.38819], [loss2_l2h 0.39225], [loss3_l2h 0.39661], [loss4_l2h 0.39994], [lr 0.0049693895700]
[iter 36], [train loss 3.54334], [loss_fuse 0.38424], [loss1_h2l 0.39915], [loss2_h2l 0.39577], [loss3_h2l 0.39527], [loss4_h2l 0.39716], [loss1_l2h 0.38733], [loss2_l2h 0.39134], [loss3_l2h 0.39508], [loss4_l2h 0.39800], [lr 0.0049684889466]
[iter 37], [train loss 3.50549], [loss_fuse 0.37967], [loss1_h2l 0.39470], [loss2_h2l 0.39117], [loss3_h2l 0.39114], [loss4_h2l 0.39324], [loss1_l2h 0.38348], [loss2_l2h 0.38735], [loss3_l2h 0.39092], [loss4_l2h 0.39383], [lr 0.0049675883051]
[iter 38], [train loss 3.46295], [loss_fuse 0.37398], [loss1_h2l 0.38987], [loss2_h2l 0.38632], [loss3_h2l 0.38679], [loss4_h2l 0.38895], [loss1_l2h 0.37939], [loss2_l2h 0.38254], [loss3_l2h 0.38614], [loss4_l2h 0.38897], [lr 0.0049666876454]
[iter 39], [train loss 3.42007], [loss_fuse 0.36844], [loss1_h2l 0.38434], [loss2_h2l 0.38080], [loss3_h2l 0.38150], [loss4_h2l 0.38370], [loss1_l2h 0.37591], [loss2_l2h 0.37864], [loss3_l2h 0.38206], [loss4_l2h 0.38468], [lr 0.0049657869676]
[iter 40], [train loss 3.37460], [loss_fuse 0.36291], [loss1_h2l 0.37912], [loss2_h2l 0.37563], [loss3_h2l 0.37625], [loss4_h2l 0.37887], [loss1_l2h 0.37145], [loss2_l2h 0.37372], [loss3_l2h 0.37704], [loss4_l2h 0.37960], [lr 0.0049648862717]
[iter 41], [train loss 3.34767], [loss_fuse 0.35935], [loss1_h2l 0.37637], [loss2_h2l 0.37296], [loss3_h2l 0.37389], [loss4_h2l 0.37738], [loss1_l2h 0.36814], [loss2_l2h 0.37027], [loss3_l2h 0.37332], [loss4_l2h 0.37599], [lr 0.0049639855576]
[iter 42], [train loss 3.33264], [loss_fuse 0.35698], [loss1_h2l 0.37552], [loss2_h2l 0.37216], [loss3_h2l 0.37325], [loss4_h2l 0.37726], [loss1_l2h 0.36558], [loss2_l2h 0.36792], [loss3_l2h 0.37068], [loss4_l2h 0.37331], [lr 0.0049630848253]
[iter 43], [train loss 3.28683], [loss_fuse 0.35133], [loss1_h2l 0.37005], [loss2_h2l 0.36673], [loss3_h2l 0.36804], [loss4_h2l 0.37237], [loss1_l2h 0.36133], [loss2_l2h 0.36311], [loss3_l2h 0.36568], [loss4_l2h 0.36819], [lr 0.0049621840749]
[iter 44], [train loss 3.24133], [loss_fuse 0.34596], [loss1_h2l 0.36511], [loss2_h2l 0.36191], [loss3_h2l 0.36341], [loss4_h2l 0.36816], [loss1_l2h 0.35614], [loss2_l2h 0.35778], [loss3_l2h 0.36019], [loss4_l2h 0.36266], [lr 0.0049612833063]
[iter 45], [train loss 3.21567], [loss_fuse 0.34304], [loss1_h2l 0.36260], [loss2_h2l 0.35936], [loss3_h2l 0.36035], [loss4_h2l 0.36554], [loss1_l2h 0.35325], [loss2_l2h 0.35484], [loss3_l2h 0.35707], [loss4_l2h 0.35962], [lr 0.0049603825195]
[iter 46], [train loss 3.18547], [loss_fuse 0.33934], [loss1_h2l 0.35823], [loss2_h2l 0.35508], [loss3_h2l 0.35606], [loss4_h2l 0.36169], [loss1_l2h 0.35123], [loss2_l2h 0.35229], [loss3_l2h 0.35443], [loss4_l2h 0.35713], [lr 0.0049594817146]
[iter 47], [train loss 3.16369], [loss_fuse 0.33678], [loss1_h2l 0.35483], [loss2_h2l 0.35163], [loss3_h2l 0.35247], [loss4_h2l 0.35839], [loss1_l2h 0.35004], [loss2_l2h 0.35090], [loss3_l2h 0.35302], [loss4_l2h 0.35563], [lr 0.0049585808914]
[iter 48], [train loss 3.13128], [loss_fuse 0.33341], [loss1_h2l 0.35167], [loss2_h2l 0.34846], [loss3_h2l 0.34894], [loss4_h2l 0.35539], [loss1_l2h 0.34593], [loss2_l2h 0.34680], [loss3_l2h 0.34892], [loss4_l2h 0.35177], [lr 0.0049576800501]
[iter 49], [train loss 3.12043], [loss_fuse 0.33231], [loss1_h2l 0.35103], [loss2_h2l 0.34772], [loss3_h2l 0.34755], [loss4_h2l 0.35487], [loss1_l2h 0.34406], [loss2_l2h 0.34514], [loss3_l2h 0.34737], [loss4_l2h 0.35036], [lr 0.0049567791906]
[iter 50], [train loss 3.09522], [loss_fuse 0.32915], [loss1_h2l 0.34821], [loss2_h2l 0.34501], [loss3_h2l 0.34509], [loss4_h2l 0.35297], [loss1_l2h 0.34143], [loss2_l2h 0.34205], [loss3_l2h 0.34418], [loss4_l2h 0.34713], [lr 0.0049558783129]
[iter 51], [train loss 3.08460], [loss_fuse 0.32759], [loss1_h2l 0.34635], [loss2_h2l 0.34316], [loss3_h2l 0.34319], [loss4_h2l 0.35183], [loss1_l2h 0.34059], [loss2_l2h 0.34163], [loss3_l2h 0.34361], [loss4_l2h 0.34666], [lr 0.0049549774171]
[iter 52], [train loss 3.06076], [loss_fuse 0.32452], [loss1_h2l 0.34338], [loss2_h2l 0.34028], [loss3_h2l 0.34047], [loss4_h2l 0.34976], [loss1_l2h 0.33830], [loss2_l2h 0.33909], [loss3_l2h 0.34095], [loss4_l2h 0.34400], [lr 0.0049540765030]
[iter 53], [train loss 3.04602], [loss_fuse 0.32286], [loss1_h2l 0.34201], [loss2_h2l 0.33898], [loss3_h2l 0.33911], [loss4_h2l 0.34881], [loss1_l2h 0.33644], [loss2_l2h 0.33702], [loss3_l2h 0.33886], [loss4_l2h 0.34193], [lr 0.0049531755707]
